# started 2026-09-21 14:18:28  level/status: level=3 held=yes cfb=0 prime=3513600 junc=31C left=常开 pids=12628 26316 7390 8945 
# p6max=3513600 p0max=2918400 cfb=0
# node=0:2918400 1:2918400 2:2918400 3:2918400 4:2918400 5:2918400 6:3513600 7:3513600 
ts|c0|c1|c2|c3|c4|c5|c6|c7|p0max|p6max|junc|shell|cfb|cool
1789993197|960000|1152000|1152000|1363200|1363200|1555200|1017600|1017600|2918400|3513600|37000|26900|0|no
1789993198|2400000|2745600|2918400|2400000|2400000|2400000|1017600|1017600|2918400|3513600|36600|26800|0|no
1789993199|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|37800|26800|0|no
1789993199|2918400|2918400|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|62900|26800|0|no
1789993200|1152000|1152000|1152000|1152000|1363200|1363200|3513600|3513600|2918400|3513600|63300|26800|0|no
1789993200|1363200|1363200|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|65600|26800|0|no
1789993201|2918400|2918400|2918400|2400000|2400000|2400000|3513600|3513600|2918400|3513600|66000|26800|0|no
1789993202|2918400|2918400|2918400|2745600|2745600|2400000|2246400|2246400|2918400|3513600|44800|26800|0|no
1789993202|1363200|1555200|1555200|1555200|1555200|1555200|1017600|1017600|2918400|3513600|39700|26800|0|no
1789993203|2400000|2400000|2400000|2745600|2918400|2918400|1017600|1017600|2918400|3513600|38600|26800|0|no
1789993204|2400000|2400000|2400000|2400000|1996800|1996800|1017600|1017600|2918400|3513600|38200|26800|0|no
1789993204|2400000|2918400|2400000|2745600|2918400|2918400|1017600|1017600|2918400|3513600|37400|26800|0|no
1789993205|2400000|2400000|2400000|1785600|1785600|1363200|1017600|1017600|2918400|3513600|37000|26800|0|no
1789993206|1555200|1363200|960000|960000|1152000|1152000|1017600|1017600|2918400|3513600|36600|26800|0|no
1789993206|748800|2400000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|36300|26800|0|no
1789993207|1555200|1555200|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|48600|26800|0|no
1789993208|2918400|2918400|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|69500|26800|0|no
1789993208|2918400|2918400|2918400|1363200|1363200|1363200|3513600|3513600|2918400|3513600|71800|26700|0|no
1789993209|960000|960000|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|69900|26700|0|no
1789993209|960000|2918400|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|73300|26700|0|no
1789993210|2918400|1996800|1996800|1555200|1555200|1152000|3513600|3513600|2918400|3513600|66400|26700|0|no
1789993211|748800|2918400|2918400|2918400|2918400|1363200|3513600|3513600|2918400|3513600|52100|26700|0|no
1789993211|1152000|1152000|1152000|1363200|1363200|1152000|3513600|3513600|2918400|3513600|73700|26700|0|no
