run_id,block,arm,uclamp_min_arm,cycle_id,req_min_at_wake,eff_min_at_wake,eff_active_at_wake,eff_bucket_at_wake,req_min_at_place,eff_min_at_place,eff_active_at_place,eff_bucket_at_place,eff_max_at_place,start_cpu,candidate_mask,min_util,most_spare_cap,order_index,end_index,skip,prev_cpu,util_raw,best_energy_cpu,fastpath,demand_raw,pred_demand,misfit,selected_cpu,first_run_cpu,wake_latency_us,initial_junction_c,peak_junction_c
s2b-r07,2,A,0,s2b-r07-206,0,0,0,0,0,0,1,0,1024,0,32,157,-1,0,0,-1,5,157,5,2,2465253,159,0,5,5,15.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-207,0,0,0,0,0,0,1,0,1024,0,32,193,-1,0,0,-1,5,193,5,2,3030907,193,0,5,5,17.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-208,0,0,0,0,0,0,1,0,1024,0,32,160,-1,0,0,-1,5,160,5,2,2512541,148,0,5,5,16.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-209,0,0,0,0,0,0,1,0,1024,0,16,160,4,0,0,-1,5,160,5,0,2504850,151,0,5,4,126.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-210,0,0,0,0,0,0,1,0,1024,0,16,160,-1,0,0,-1,4,160,4,2,2515565,153,0,4,4,18.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-211,0,0,0,0,0,0,1,0,1024,0,16,142,-1,0,0,-1,4,142,4,2,2231297,44,0,4,4,17.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-212,0,0,0,0,0,0,1,0,1024,0,16,148,-1,0,0,-1,4,148,4,2,2324527,148,0,4,4,15.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-213,0,0,0,0,0,0,1,0,1024,0,4,112,0,0,0,-1,4,112,2,0,1752847,100,0,2,2,21.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-214,0,0,0,0,0,0,1,0,1024,0,1,162,-1,0,0,-1,0,162,0,2,2539742,162,0,0,0,12.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-215,0,0,0,0,0,0,1,0,1024,0,1,94,-1,0,0,-1,0,94,0,2,1470790,57,0,0,0,23.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-216,0,0,0,0,0,0,1,0,1024,0,1,149,-1,0,0,-1,0,149,0,2,2328980,149,0,0,0,14.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-217,0,0,0,0,0,0,1,0,1024,0,1,91,-1,0,0,-1,0,91,0,2,1428416,57,0,0,0,55.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-218,0,0,0,0,0,0,1,0,1024,0,16,91,-1,0,0,-1,4,91,4,2,1433443,82,0,4,4,43.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-219,0,0,0,0,0,0,1,0,1024,0,1,144,-1,0,0,-1,0,144,0,2,2265292,144,0,0,0,16.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-220,0,0,0,0,0,0,1,0,1024,0,1,153,-1,0,0,-1,0,153,0,2,2397468,153,0,0,0,27.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-221,0,0,0,0,0,0,1,0,1024,0,1,91,0,0,0,-1,1,91,0,0,1426549,125,0,0,5,256.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-222,0,0,0,0,0,0,1,0,1024,0,16,63,1,0,0,-1,5,63,4,0,984389,125,0,4,4,55.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-223,0,0,0,0,0,0,1,0,1024,0,32,74,0,0,0,-1,4,74,5,0,1171091,74,0,5,5,54.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-224,0,0,0,0,0,0,1,0,1024,0,32,155,-1,0,0,-1,5,155,5,2,2422720,155,0,5,5,15.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-225,0,0,0,0,0,0,1,0,1024,0,32,76,5,0,0,-1,5,76,5,0,1198417,74,0,5,5,164.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-226,0,0,0,0,0,0,1,0,1024,0,16,61,-1,0,0,-1,4,61,4,2,956117,116,0,4,4,32.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-227,0,0,0,0,0,0,1,0,1024,0,16,149,-1,0,0,-1,4,149,4,2,2340178,149,0,4,4,34.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-228,0,0,0,0,0,0,1,0,1024,0,16,151,-1,0,0,-1,4,151,4,2,2360655,151,0,4,4,78.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-229,0,0,0,0,0,0,1,0,1024,0,16,98,-1,0,0,-1,4,98,4,2,1537376,38,0,4,4,66.0,42.8,48.2
