# extreme ceiling now: EXTREME_P6=3801600
# gate: EXTREME_GATE=95000
ts|state|p6cur|p7cur|p0cur|p6max|junc|cooling
1787163804|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|29700|no
1787163804|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29300|no
1787163805|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163805|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|29300|no
1787163806|level=2 held=yes cfb=0 prime|1017600|1017600|1555200|3801600|29300|no
1787163806|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|29300|no
1787163807|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163808|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163808|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29300|no
1787163809|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29700|no
1787163809|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163810|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|28900|no
1787163810|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|28900|no
1787163811|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|29300|no
1787163812|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163812|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|29300|no
1787163813|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|29300|no
1787163813|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163814|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163814|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|29300|no
1787163815|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163816|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|28900|no
1787163816|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163817|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|28900|no
1787163817|level=2 held=yes cfb=0 prime|1017600|1017600|1555200|3801600|28900|no
1787163818|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163818|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163819|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|28900|no
1787163820|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|28900|no
1787163820|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163821|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29300|no
1787163821|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163822|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|28900|no
1787163823|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29700|no
1787163823|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|29300|no
1787163824|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|29300|no
1787163824|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|28900|no
1787163825|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
