run_id,block,arm,cycle_id,requested_min,effective_min,pred_demand,start_cpu,candidate_mask,misfit,selected_cpu,first_run_cpu,wake_latency_us,initial_junction_c,peak_junction_c
s2b-r01,1,A,s2b-r01-187,0,0,124,0,32,0,5,5,105.0,44.8,50.5
s2b-r01,1,A,s2b-r01-188,0,0,94,0,32,0,5,5,49.0,44.8,50.5
s2b-r01,1,A,s2b-r01-189,0,0,103,0,32,0,5,5,86.0,44.8,50.5
s2b-r01,1,A,s2b-r01-190,0,0,131,0,32,0,5,5,26.0,44.8,50.5
s2b-r01,1,A,s2b-r01-191,0,0,158,0,2,0,1,1,23.0,44.8,50.5
s2b-r01,1,A,s2b-r01-192,0,0,147,0,2,0,1,1,59.0,44.8,50.5
s2b-r01,1,A,s2b-r01-193,0,0,99,0,2,0,1,1,559.0,44.8,50.5
s2b-r01,1,A,s2b-r01-194,0,0,103,0,16,0,4,4,44.0,44.8,50.5
s2b-r01,1,A,s2b-r01-195,0,0,103,0,16,0,4,4,52.0,44.8,50.5
s2b-r01,1,A,s2b-r01-196,0,0,147,0,16,0,4,4,106.0,44.8,50.5
s2b-r01,1,A,s2b-r01-197,0,0,96,0,16,0,4,4,107.0,44.8,50.5
s2b-r01,1,A,s2b-r01-198,0,0,117,0,1,0,0,0,78.0,44.8,50.5
s2b-r01,1,A,s2b-r01-199,0,0,25,0,1,0,0,0,56.0,44.8,50.5
s2b-r01,1,A,s2b-r01-200,0,0,151,0,2,0,1,1,24.0,44.8,50.5
s2b-r01,1,A,s2b-r01-201,0,0,151,0,2,0,1,1,46.0,44.8,50.5
s2b-r01,1,A,s2b-r01-202,0,0,114,0,2,0,1,1,19.0,44.8,50.5
s2b-r01,1,A,s2b-r01-203,0,0,156,0,16,0,4,4,109.0,44.8,50.5
s2b-r01,1,A,s2b-r01-204,0,0,117,0,16,0,4,4,103.0,44.8,50.5
s2b-r01,1,A,s2b-r01-205,0,0,117,0,16,0,4,4,103.0,44.8,50.5
s2b-r01,1,A,s2b-r01-206,0,0,19,0,16,0,4,4,65.0,44.8,50.5
s2b-r01,1,A,s2b-r01-207,0,0,15,0,16,0,4,4,105.0,44.8,50.5
s2b-r01,1,A,s2b-r01-208,0,0,83,0,16,0,4,4,104.0,44.8,50.5
s2b-r01,1,A,s2b-r01-209,0,0,122,0,1,0,0,0,53.0,44.8,50.5
s2b-r01,1,A,s2b-r01-210,0,0,164,0,1,0,0,0,35.0,44.8,50.5
s2b-r01,1,A,s2b-r01-211,0,0,153,0,1,0,0,0,31.0,44.8,50.5
s2b-r01,1,A,s2b-r01-212,0,0,153,0,16,0,4,4,56.0,44.8,50.5
s2b-r01,1,A,s2b-r01-213,0,0,98,0,2,0,1,1,69.0,44.8,50.5
s2b-r01,1,A,s2b-r01-214,0,0,148,0,16,0,4,4,52.0,44.8,50.5
s2b-r01,1,A,s2b-r01-215,0,0,67,0,16,0,4,4,105.0,44.8,50.5
s2b-r01,1,A,s2b-r01-216,0,0,117,0,32,0,5,5,57.0,44.8,50.5
s2b-r01,1,A,s2b-r01-217,0,0,117,0,32,0,5,5,106.0,44.8,50.5
s2b-r01,1,A,s2b-r01-218,0,0,117,0,32,0,5,5,105.0,44.8,50.5
s2b-r01,1,A,s2b-r01-219,0,0,129,0,2,0,5,4,116.0,44.8,50.5
s2b-r01,1,A,s2b-r01-220,0,0,159,0,1,0,0,0,28.0,44.8,50.5
s2b-r01,1,A,s2b-r01-221,0,0,162,0,16,0,4,4,30.0,44.8,50.5
s2b-r01,1,A,s2b-r01-222,0,0,150,0,16,0,4,4,52.0,44.8,50.5
